question,contexts,answer,ground_truth
지민이 무슨 뉴스 있어?,"['""방탄소년']","지민이에 대한 최근 소식을 알려드릴게요. 소피아 카슨이 지민을 칭찬하며 ""세상 모든 것을 받을 자격이 있다""고 말했고, 스타뉴스에서는 'Park Jimin'이라는 새로운 별이 생겼다고 보도했어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE55MkJxYmR2MTVJdUM3ZjhPcGgxckRzQ0J5S0xVNFU1T21KTGVsSzdLUlROOEN2YmxDWWJfRHVvZlZqeFZfcm5Od0VVNVVTNkJMMld3?oc=5
2. https://news.google.com/rss/articles/CBMicEFVX3lxTE1HTExKV2lNbUJoay0wSmtQaVhSWXNjWV9vVEhDdF9Sb2RXb21QUEV5YW15dHc2dlcyMVB5YlNhQWJWbzFEWjA0U0tMNnBac255WW5uVUpETEZfekxiU2N3dVNiTlkwOXBuNjFVQnQtTS0?oc=5
3. https://news.google.com/rss/articles/CBMiW0FVX3lxTE1YTlFieUN0dXJPQUFGQTN6TWZhNkRUcnBUZFdTRWJIRDFtNFdOOFlydGR4OFhHNF94UnpWTjcyRmpPa19uQ3A4Si1yMDdXQXRFOWFMNHVMd3ZVQUXSAWBBVV95cUxQS0t4NXp0YUFUOExpSEd3SlNmR0R5QUVJaVlJbUlUV2lQU3dNN1UwQnhWb3lwZ1pxSlRpOTJGVk42cDBBUURleXhMSmdSbWFDazh0ODlBYjd4dUdJbVlGaEM?oc=5",""""
정국 기사 좀 줘,"[""'금발 투""]","정국 기사에 대해 알려드릴게요. 방탄소년단의 정국이 금발 투톤 헤어로 변신해 전세계 41개 나라에서 실시간 트렌드에 올랐어요. 이로써 그의 매력과 인기를 다시 한 번 입증했답니다.

[LINK]
1. https://news.google.com/rss/articles/CBMiT0FVX3lxTFBuYWdRSTgzb21Ca2I0Mlluem94RmtDamRFUVhhS1pwUndEcVEzSHhYeTBZTG9rX1JuU0FFMDF3ejR4MGlKa2I5OWtSTHA4WEU?oc=5",'
수지 요즘 뭐하고 있어?,"[""'해피투게""]","수지에 대한 최근 소식을 알려드릴게요. '해피투게더'에서 서강준과 수지가 전화 연결을 했는데, 남지현이 ""서강준 귀까지 빨개져""라고 말했대요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE5vWU42dkM4czFiRnVpREVYbl9VYVh3NC1iU0JMd2I0YW8tWnB5LWswZHN5UGliZWh0ZE1hcHhLbnd3OGdqT2duQmJxNEVOeWlDdEpj?oc=5",'
임영웅 기사 뭐 나왔어?,"['유해진, ']","임영웅 기사 뭐 나왔어?에 대한 최근 뉴스 내용을 알려드릴게요. 유해진과 차승원이 삼시세끼에서 잠옷 같은 밭 일룩을 선보였는데, 이에 대해 황당한 반응을 보였다고 합니다. 자세한 내용은 아래 링크에서 확인할 수 있어요.

[LINK]
- 유해진, 차승원 잠옷같은 밭일룩에 황당 ""자러 나왔어?""(삼시세끼) - 네이트 뉴스 - https://news.google.com/rss/articles/CBMiU0FVX3lxTE5LaXZmcWFQUUFPUVZOZHIzQmxOekVPOXRrTnNSNzNQVW5heF9HTnF4N3Jnb2RFOURqTGxpME1teXhQWnlmeC0wUWRoQUU3aDVncm5G",유
이찬원 근황 알려줘,"['이찬원, ']","이찬원에 대한 최근 소식을 알려드릴게요. 이찬원은 트롯 대신 아이돌 활동을 꿈꾸며 ""'더 보이즈' 멤버 되고파""라고 밝혔어요. 또한 '뽕숭아학당'에서 이찬원, 김희재, 황윤성이 함께 출연하여 몸으로 말해요 퀴즈로 폭소를 유발했답니다.

[LINK]
1. https://news.google.com/rss/articles/CBMiV0FVX3lxTFBqRXFCM1QyVElobUY1S0xEVzNhaTd5b2FIZndBLXVqT20wY0NYU1FQRXlSdjNublNpR2JKMmpqRzBTazlSQnR6dXpsZWRHUlVLRnZjTDJpTQ?oc=5
2. https://news.google.com/rss/articles/CBMiU0FVX3lxTFBDam55bGEtNVdSNXJMV2JFT0h6cDExUllGRllSbFBqYW9vTjFOT2kwR0NaMDYxT29pbGFGbHM3SjEzMjN3azllWnZYRFZmSVVDUEZv?oc=5",이
아이브 뉴스 보여줘,"['아이브, ']","아이브의 최신 소식을 알려드릴게요. 아이브가 '더 시즌즈'에서 완전체로 등장했고, '사외다' OST 라이브 클립을 공개했어요. 또한, 한혜진과 함께 학교에서 피살된 초등생을 추모하는 모습을 보였어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiZEFVX3lxTFB3U3A3Y0pBejlWYzN6NjN2bmZWQkNnY3djZUVYeWlaQW9JdThwLTRVZmpRaFJfcnNVN3RYSGtvTjBKa3IycTdvdnUtQk5iQUNpek1pNW9TTTBsSVNQS05xZXBVb2o?oc=5
2. https://news.google.com/rss/articles/CBMiV0FVX3lxTE1ESklSNjFQNC01Wk9WSWhxNVlfMVdYcWZBU3JaQVhJM3BzbXZrTTFjOFFaMW9ZZE5USXpVd0YzQmhscmNDaWRrYUg1STZpcjhsQ19aQTdjbw?oc=5
3. https://news.google.com/rss/articles/CBMicEFVX3lxTE5qUlA3RWZFenJqYWo4SUZyNmFVN25yZFJDMGVjRkdrSFRyMjRvOHcwd2ZZbjY4RGc0ODNSdWkxZk5DSExsS0plclJsSTBBRHlTWTRVR2Qwczc3dDRnTGZBWjJXb2J5bVhQbGRpdWpKR2E?oc=5",아
엔하이픈 관련 뉴스 있을까?,['[명탐정 '],"[명탐정 머글] 아알못은 엔하이픈 '주먹밥 쿵야'를 추리할 수 있을까? - 네이트 뉴스
200억 쏟아부은 엔하이픈, BTS 이을 수 있을까 - 한국경제
온라인이 오프라인을 대체할 수 있을까 [콘서트 잔혹사③] - 쿠키뉴스",[
김세정 최근 기사 뭐 있어?,"['김세정, ']","김세정에 대한 최근 소식을 알려드릴게요. 김세정은 파리 여행 중에 볼륨 몸매를 자랑했어요. 또한 음반 활동, 예능 출연, 그리고 뮤지컬까지 다양한 활동으로 바쁘게 활동 중이에요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE9hNHlPb3BkLWV2enZoY0h5V1dlMzBKWGRBM2wyS0RuanNXVlFGdTcxb3hsU3N6Z09SbHBWY2FUOTZVcTJFTzVjdUg3SEI1anhTRjFJ?oc=5
2. https://news.google.com/rss/articles/CBMib0FVX3lxTE84VE94OXJSNHE5bmhZZzg3bFlqTmdrdzZROUloUnc4cm1DdWFvb0xlVnl4NXl1QXhrSVpFT0tHSEpaWmRERmdjT3U1MGFiYUthbk1vY2dnZHh3N3pqQzFFb1JMeHhPeTFNWkxheC13cw?oc=5",김
에스파 뉴스 보여줘,"['""제목은 ']","에스파에 대한 최근 소식을 알려드릴게요. 에스파는 2024 TMA 대상을 수상하고 컴백 신곡에 대한 스포일러를 공개했어요. 또한 새 미니앨범 '드라마'로 독보적인 콘셉트를 입증할 예정이에요.

[LINK]
1. https://news.google.com/rss/articles/CBMieEFVX3lxTE1uM0M2WVpTQllxSFhZSWtZekpOZlRuRWZhWEtSMjR6c1RISVU4VWFsRjdUYjc5Znl0azM5NHNxZVBUa09yb1VBbHlzN3FBQzZVN253bWdwdG1neG5haHdpdXR5YWNLdER0NmFpRHVIaVVMVmZiZmQ3OA?oc=5
2. https://news.google.com/rss/articles/CBMiY0FVX3lxTFBiWjlWcTBNb2wzNDBGZTROc2pZOWZSYnd6Yjhlc1BsbUx1VnI5SWRfTUlrcnBOUG5HNjhFWkhiQWxrTmxxMjBvcTZSYnZEZndQRjhyc3VBbDlwSmhmR2xJcjE5QQ?oc=5
3. https://news.google.com/rss/articles/CBMiY0FVX3lxTE11MjlRU09Hb2llMGg5cUl4LXhPeldiNG9OSjhFcUJEcWxQLWJLMVRBTDNjRVRWU2NrVEpDcWxDRXN0elMtUkdSYnkxdnUzei1Rdkg5ZEt2VnFOZVotcGpkaTZkdw?oc=5",""""
르세라핌 기사 좀 찾아줘,['르세라핌 '],"르세라핌이 'HOT'으로 미국 '빌보드 200'에서 9위를 차지했어요. 이는 4주 연속으로 '톱 10'에 올랐다는 소식이에요.

[LINK]
1. https://news.google.com/rss/articles/CBMiV0FVX3lxTE5kVzROd1VDMEIwUTdjWVVJN1dYU2lhM3RRNU9tbUhfZngzUmg1eVRvVVptV01yQkhlb0luNEFJd19VRkF6SHNtUnF2Z3dhXzVDVUl4N2h1cw?oc=5
2. https://news.google.com/rss/articles/CBMiTkFVX3lxTE5ZTURpbDdrZkFOanZ6N3ByUFA3VVFyRzBJOFVqM1JKb2dET3RUV0h2eFRhdTRIVzJUeURyWWFmc1JtOG1yYUZWSERlNjJKUQ?oc=5
3. https://news.google.com/rss/articles/CBMib0FVX3lxTE03dkpoNm1kUFllaVhEbFNpdVk3ZmdPcEpzanJlQlNJQUdtbVVEb3UwMXYyNFNuc2Y2MWNHTktpWjIycUphQ2dtQXpRU0RqV0pjSjBrcW5LNGUzSVhhS1FvdTdodlJKVWhvWi1xNEJ3Zw?oc=5",르
